time;x;y
37862;26.89;3
37862;35.17;2
37862;45.71;1
37862;9999;0
37862;9999;-1
37908;9999;8
37908;9999;7
37908;6.57;6
37908;14.68;5
37908;24.6;4
37908;36.38;3
37908;43.88;2
37908;50.94;1
37908;9999;0
37908;9999;-1
37964;9999;8
37964;9999;7
37964;6.13;6
37964;14.42;5
37964;25.04;4
37964;33.75;3
37964;40.69;2
37964;49.37;1
37964;9999;0
37964;9999;-1
38097;9999;8
38097;1.69;7
38097;8.73;6
38097;16.51;5
38097;30.16;4
38097;38.27;3
38097;47.16;2
38097;59.87;1
38097;9999;0
38097;9999;-1
38169;9999;8
38169;1.95;7
38169;8.93;6
38169;16.52;5
38169;28.24;4
38169;36.71;3
38169;44.61;2
38169;56.49;1
38169;9999;0
38169;9999;-1
38216;9999;8
38216;4.84;7
38216;10.96;6
38216;21;5
38216;30.68;4
38216;35.11;3
38216;40.46;2
38216;46.83;1
38216;59.02;0
38216;9999;-1
38275;9999;8
38275;2.01;7
38275;10.03;6
38275;16.82;5
38275;21.62;4
38275;25.77;3
38275;34.5;2
38275;43.88;1
38275;57.57;0
38275;9999;-1
38334;9999;8
38334;2.04;7
38334;11.3;6
38334;20.42;5
38334;29.46;4
38334;50.56;3
38334;64.48;2
38334;73.63;1
38334;9999;0
38334;9999;-1
38353;9999;8
38353;2.57;7
38353;12.65;6
38353;19.94;5
38353;27.34;4
38353;33;3
38353;39.14;2
38353;45.71;1
38353;9999;0
38353;9999;-1
38443;9999;8
38443;2.77;7
38443;12.32;6
38443;27.22;5
38443;35.71;4
38443;44;3
38443;55.7;2
38443;69.12;1
38443;9999;0
38443;9999;-1
38544;9999;8
38544;2.85;7
38544;12.34;6
38544;22.82;5
38544;37.67;4
38544;43.66;3
38544;49.65;2
38544;59.49;1
38544;9999;0
38544;9999;-1
38629;9999;8
38629;1.81;7
38629;12.47;6
38629;21.23;5
38629;29.33;4
38629;36.19;3
38629;42.98;2
38629;50.49;1
38629;9999;0
38629;9999;-1
38734;9999;8
38734;9999;7
38734;8.2;6
38734;16.48;5
38734;20.21;4
38734;32.37;3
38734;39.07;2
38734;45.77;1
38734;9999;0
38734;9999;-1
38835;9999;8
38835;2.85;7
38835;12.04;6
38835;24.73;5
38835;32.87;4
38835;40.41;3
38835;49.03;2
38835;58.09;1
38835;9999;0
38835;9999;-1
38909;9999;8
38909;1.64;7
38909;11.27;6
38909;22.73;5
38909;25.94;4
38909;29.15;3
38909;36;2
38909;43.97;1
38909;9999;0
38909;9999;-1
38999;9999;8
38999;3.07;7
38999;11.99;6
38999;15.71;5
38999;21.47;4
38999;28.24;3
38999;35.36;2
38999;46.59;1
38999;9999;0
38999;9999;-1
39104;9999;8
39104;3.37;7
39104;12.56;6
39104;17.99;5
39104;29.78;4
39104;37.28;3
39104;46.97;2
39104;59.59;1
39104;9999;0
39104;9999;-1
39171;9999;8
39171;9999;7
39171;1.02;6
39171;4.75;5
39171;14.39;4
39171;27.1;3
39171;35.49;2
39171;46.16;1
39171;9999;0
39171;9999;-1
39189;9999;8
39189;9999;7
39189;1.14;6
39189;4.32;5
39189;21.89;4
39189;31.08;3
39189;41.96;2
39189;55.3;1
39189;9999;0
39189;9999;-1
39279;9999;8
39279;9999;7
39279;1.88;6
39279;4.15;5
39279;8.71;4
39279;14.46;3
39279;21.09;2
39279;28.48;1
39279;9999;0
39279;9999;-1
39365;9999;8
39365;9999;7
39365;1.71;6
39365;4.03;5
39365;7.18;4
39365;15.94;3
39365;23.34;2
39365;29.91;1
39365;9999;0
39365;9999;-1
39468;9999;8
39468;9999;7
39468;3.2;6
39468;8.54;5
39468;24.53;4
39468;34.87;3
39468;41.93;2
39468;51.21;1
39468;9999;0
39468;9999;-1
39559;9999;8
39559;1.53;7
39559;7.2;6
39559;12.86;5
39559;23.67;4
39559;29.64;3
39559;38.83;2
39559;48.58;1
39559;9999;0
39559;9999;-1
39636;9999;8
39636;1.38;7
39636;6.92;6
39636;13.78;5
39636;21.47;4
39636;27.14;3
39636;32.98;2
39636;39.2;1
39636;9999;0
39636;9999;-1
39735;9999;8
39735;2.61;7
39735;8.97;6
39735;15.55;5
39735;22.4;4
39735;29.23;3
39735;36.04;2
39735;45.74;1
39735;9999;0
39735;9999;-1
39839;9999;8
39839;1.61;7
39839;7.8;6
39839;15.52;5
39839;25.55;4
39839;32.22;3
39839;39.64;2
39839;48.66;1
39839;9999;0
39839;9999;-1
39911;9999;8
39911;1.65;7
39911;8.51;6
39911;15.79;5
39911;28.56;4
39911;35.32;3
39911;42.08;2
39911;54.77;1
39911;9999;0
39911;9999;-1
