,cps,season,copula,tau,pe,pm,ze,zm,pexp
41,CP99,win,N12,0.5364616094068304,1.1052568313867783,1.0577902941478545,0.9924242424242425,0.9797979797979799,
42,CP99,aut,N12,0.6355333224424675,0.9783261227936078,0.883767540168595,0.987551867219917,0.966804979253112,
43,CP99,spr,N12,0.6021932605915142,0.9820784724121582,0.9439058989071284,0.986111111111111,0.9629629629629629,
44,CP16,sum,N12,0.5707928145214559,1.1314021114911006,1.0402767116551463,0.9967776584317938,0.99140708915145,
45,CP16,win,N12,0.7072630041439046,1.6992786164338898,1.220829921392359,0.9979811574697173,0.9946164199192462,
46,CP16,aut,N12,0.6245661528334399,1.6937790608678513,0.9745596399981308,0.9971988795518207,0.992530345471522,
47,CP16,spr,N12,0.56266239698417,1.205970806988609,1.1878434223960523,0.9978738483345144,0.994330262225372,
48,CP10,sum,N12,0.5593757156528223,1.5129270120532565,1.144222799920162,0.9986213235294117,0.9963235294117646,
49,CP10,win,N12,0.5946459710014541,1.1505720275988207,1.1378330018213911,0.998734711092366,0.9966258962463095,
50,CP10,aut,N12,0.636858878616128,1.541159071680806,1.4838746894587547,0.9985721085197524,0.9961922893860066,
51,CP10,spr,N12,0.5078327608728476,1.2383742310432684,1.091923300517313,0.9987452948557088,0.9966541196152237,
52,CP09,sum,N12,0.6373626458628168,1.244154593958768,1.2029723039923526,0.9972247918593895,0.9925994449583719,
53,CP09,win,N12,0.6011816393166941,1.4350845252893227,1.4350845252893227,0.9975429975429976,0.9934479934479935,
54,CP09,aut,N12,0.6996779275354237,1.840549633397487,1.5518087995974639,0.9976114649681529,0.9936305732484076,2.881161649902067
55,CP09,spr,N12,0.5677421920291613,1.4816045409242156,1.4562867329399256,0.9974160206718347,0.9931093884582257,
56,CP05,sum,N12,0.6074067710048086,1.4206957878372228,1.2325602611778486,0.9980781550288276,0.9948750800768738,
57,CP05,win,N12,0.6185348588042662,1.4973884086254774,1.4701758451005926,0.9975328947368421,0.993421052631579,
58,CP05,aut,N12,0.6006986652721561,1.6714733033535532,1.4701758451005926,0.9980719794344473,0.9948586118251928,
59,CP05,spr,N12,0.5831799772216422,1.1474024528375417,1.1378330018213911,0.9978510028653295,0.9942693409742119,
60,CP11,sum,N12,0.6473576089813253,1.247032293786383,1.128171090909654,0.9981378026070763,0.9950341402855368,
61,CP11,win,N12,0.6135945060486482,1.4398351280479205,1.425515074273172,0.9978432782171099,0.9942487419122933,
62,CP11,aut,N12,0.6168086556928758,1.536867219599265,1.534714366238164,0.9979605710401087,0.9945615227736233,3.2456192623999964
63,CP11,spr,N12,0.6195682918091467,1.3217558399823195,1.1908875647772805,0.9978510028653295,0.9942693409742119,
64,CP04,sum,N12,0.7121433832549792,1.451613827240533,1.410986973710262,0.9976489028213167,0.9937304075235109,
65,CP04,win,N12,0.7274352356323589,1.4350845252893227,1.4134230285081433,0.9981261711430355,0.9950031230480949,
66,CP04,aut,N12,0.7280451304981838,1.463255402256019,1.3056264580524357,0.9979811574697173,0.9946164199192462,
67,CP04,spr,N12,0.664202561079001,1.6331544390514163,1.3711807233098425,0.9981829194427619,0.9951544518473652,
68,CP08,sum,gumbel,-0.03378623335625275,1.244154593958768,1.1019400787607843,0.9983480176211453,0.9955947136563876,
69,CP08,win,gumbel,0.042519525437912896,1.3812818192963463,1.2919836816486494,0.9980079681274899,0.99468791500664,
70,CP08,aut,gumbel,-0.15097358746194087,1.3270750014599193,1.199964782928397,0.9979674796747967,0.994579945799458,
71,CP08,spr,gumbel,-0.13729005591791513,1.1600209167967532,1.1085626195212777,0.9981024667931688,0.9949399114484503,
72,CP15,sum,gumbel,0.10231777371460808,1.3454723665996355,1.0367368849500223,0.997994652406417,0.9946524064171123,
73,CP15,win,gumbel,0.012786186479490294,1.332366019094335,1.2296405510745139,0.9977116704805491,0.9938977879481311,
74,CP15,aut,gumbel,-0.03758506232302358,1.3962446919730587,1.3711807233098425,0.9980781550288276,0.9948750800768738,
75,CP15,spr,gumbel,0.043548252009182824,1.3137236682850553,1.244154593958768,0.9983012457531143,0.9954699886749716,
76,CP12,sum,gumbel,0.032488106507816666,1.3837912309017721,1.2725655957915476,0.9977794226498888,0.9940784603997038,
77,CP12,win,gumbel,0.016145844077903933,1.2029723039923526,1.1878434223960523,0.9979674796747967,0.994579945799458,
78,CP12,aut,gumbel,-0.023778614966717883,1.6193882432872684,1.4182774069729414,0.9983965793693211,0.9957242116515231,
79,CP12,spr,gumbel,-0.010933697636626365,1.4562867329399256,1.2237754316221157,0.9979879275653922,0.9946344735077128,
80,CP06,sum,gumbel,-0.03522831987999592,1.2781522025001875,1.0508216248317612,0.9973357015985791,0.9928952042628775,
81,CP06,win,gumbel,-0.20520487971728404,1.5303947050936475,1.5303947050936475,0.9975429975429976,0.9934479934479935,3.308346275355899
82,CP06,aut,gumbel,-0.30877897121405795,1.55814461804655,1.4134230285081433,0.997639653815893,0.9937057435090481,
83,CP06,spr,gumbel,-0.13574043188226734,1.1151415906193203,1.1151415906193203,0.9980276134122287,0.99474030243261,
84,CP07,sum,gumbel,-0.013720031717808962,1.4973884086254774,1.3862943611198906,0.998108448928121,0.9949558638083228,
85,CP07,win,gumbel,0.013663695150059482,1.3787660946990992,1.358409157630355,0.996594778660613,0.9909194097616345,
86,CP07,aut,gumbel,0.10572275206274963,2.0412203288596382,1.9329696377795786,0.9981549815498154,0.995079950799508,2.7028008108914072
87,CP07,spr,gumbel,0.1103903542200485,1.6956156086751528,1.6845453849209058,0.997787610619469,0.9941002949852507,2.888865483433086
88,CP03,sum,gumbel,-0.0911084906786863,1.1378330018213911,0.9969486348916096,0.998220640569395,0.9952550415183866,
89,CP03,win,gumbel,-0.08558385878535348,1.5644405465033646,1.5085119938441398,0.998220640569395,0.9952550415183866,3.334670408945538
90,CP03,aut,gumbel,-0.10927528932039815,1.6193882432872684,1.5644405465033646,0.9979879275653922,0.9946344735077128,3.051158921683401
91,CP03,spr,gumbel,-0.10149303562557793,1.3376291891386096,1.275362800412609,0.9978118161925601,0.9941648431801604,
92,CP14,sum,gumbel,0.002387961834850222,1.091923300517313,1.0681530811834012,0.9978038067349926,0.994143484626647,
93,CP14,win,gumbel,-0.06890314737526562,1.2029723039923526,0.9783261227936078,0.9980276134122287,0.99474030243261,
94,CP14,aut,gumbel,-0.03428636087489293,1.5496879080283263,1.3987168811184478,0.9980079681274899,0.99468791500664,
95,CP14,spr,gumbel,-0.08539936111309546,1.3029127521808397,1.2669476034873244,0.9982153480071385,0.9952409280190362,
96,CP01,sum,gumbel,-0.09465007495263772,1.1052568313867783,1.085189268335969,0.9988768251591164,0.9970048670909771,
97,CP01,win,gumbel,-0.012406715246495913,1.2267122912954254,1.1568811967920856,0.9992002132764596,0.9978672354038922,
98,CP01,aut,gumbel,-0.1284263213708422,1.6956156086751528,1.6331544390514163,0.999078624078624,0.9975429975429975,3.7523534566723318
99,CP01,spr,gumbel,-0.14440870798530775,1.2947271675944,1.2781522025001875,0.9992023398032438,0.9978729061419835,
100,CP13,sum,gumbel,0.10921881974957565,1.269760544863939,1.2029723039923526,0.9980468749999999,0.9947916666666666,
101,CP13,win,gumbel,-0.08113135932915322,1.6389967146756448,1.556037135706985,0.997639653815893,0.9937057435090481,3.141622020828287
102,CP13,aut,gumbel,-0.029177288597988883,1.824549292051046,1.7029282555214393,0.9978586723768735,0.9942897930049963,2.7475151880244266
103,CP13,spr,gumbel,-0.10240652442167981,1.4398351280479205,1.423108334242607,0.997090203685742,0.9922405431619787,
104,CP02,sum,gumbel,-0.06674645236326165,1.0438040521731147,0.9932517730102834,0.9983202687569989,0.9955207166853303,
105,CP02,win,gumbel,-0.08291638267369213,1.4327007339340465,1.3762440252663892,0.9986876640419947,0.9965004374453192,
